# xhup-rule-fixtures/v1
char-han	含	xhup-character	hj,rk	hjrk	flypy-help-ux	exact-official	protected	-	Published character example
char-he	鹤	xhup-character	he,dn	hedn	flypy-help-xh	exact-official	protected	-	Published character example
char-jiu	就	xhup-character	jq,wy	jqwy	flypy-help-ux	exact-official	protected	-	Published character example
char-xiao	小	xhup-character	xn,ld	xnld	flypy-help-xh	exact-official	protected	-	Published character example
char-xing	形	xhup-character	xk,kp	xkkp	flypy-help-xh	exact-official	protected	-	Published character example
char-xu	蓄	xhup-character	xu,ct	xuct	flypy-help-ux	exact-official	protected	-	Published character example
char-yi-horizontal	一	xhup-character	yi,aa	yiaa	flypy-help-gz	exact-official	protected	-	Single horizontal stroke is repeated
char-yi-turning	乙	xhup-character	yi,vv	yivv	flypy-help-gz	exact-official	protected	-	Single turning stroke is repeated
char-yin	音	xhup-character	yb,lo	yblo	flypy-help-xh	exact-official	protected	-	Published character example
deviation-five-character	他乡遇故知	xhup-phrase-four-plus	ta,xl,yu,gu,vi	txyv	flypy-help-xh	intentional-deviation	known-missing	flow-v1-policy	Official example absent in frozen Flow code space; text remains openly composable
deviation-zhidao	知道	xhup-phrase-shortcut	vi,dc	vd	flypy-help-xh	intentional-deviation	known-missing	flow-v1-policy	Official shortcut absent; frozen Flow protects vdc and retains vidc
flow-oov	提嗯诶	flow-sequential-composition	ti,og,ei	tiogei	flow-v1-policy	flow-extension	protected	-	Composition is independent of static and extended vocabulary
flow-tishici	提示词	flow-sequential-composition	ti,ui,ci	tiuici	flow-v1-policy	flow-extension	protected	-	Sequential Flow path is not an official four-key phrase code
historical-hang	行	historical-character	hh,ii	hhii	rime-fast-xhup	historical-compatible	protected	-	Pinned external table relation; input code not linguistic reading
historical-le	乐	historical-character	le,pd	lepd	rime-fast-xhup	historical-compatible	protected	-	Pinned external table relation
historical-ng	嗯	historical-character	ng,kx	ngkx	rime-fast-xhup	historical-compatible	protected	-	Historical code coexists with official special codes
historical-xing	行	historical-character	xk,ii	xkii	rime-fast-xhup	historical-compatible	protected	-	Multiple sound-code relations are preserved
