# XHUP Flow high-robustness ZERO_REGRESSION word shortcuts.
# Source universe: data/words/wanxiang_base_words.tsv
# Selection: ZERO_REGRESSION / balanced / normalized 50:50 conservative
# Robustness gate: same-code stability >= 4/5 over 30 normalized sensitivity runs
# policy: zero-regression-high-v1
啊啊啊	aaaaaa	aaa	III
阿贝	aabw	aab	FI
阿迪	aadi	aad	FI
阿姑	aagu	aag	FI
阿哈	aaha	aah	FI
阿里	aali	aal	FI
啊你	aani	aan	FI
阿婆	aapo	aap	FI
阿秋	aaqq	aaq	FI
阿瑟	aase	aas	FI
阿塔	aata	aat	FI
阿水	aauv	aau	FI
阿伟	aaww	aaw	FI
阿祥	aaxl	aax	FI
阿姨	aayi	aay	FI
阿泽	aaze	aaz	FI
安保	anbc	abc	IF
澳白	aobd	abd	IF
阿本	aabf	abf	IF
爱帮	aibh	abh	IF
阿波罗	aabolo	abl	III
癌变	aibm	abm	IF
啊别	aabp	abp	IF
阿北	aabw	abw	IF
凹槽	aocc	acc	IF
暗藏	anch	ach	IF
按此	anci	aci	IF
挨打	aida	ada	IF
爱丁堡	aidkbc	adb	III
熬到	aodc	adc	IF
爱的	aide	ade	IF
阿登	aadg	adg	IF
爱的话	aidehx	adh	III
奥迪	aodi	adi	IF
黯淡	andj	adj	IF
安定	andk	adk	IF
奥地利	aodili	adl	III
爱点	aidm	adm	IF
安东尼	andsni	adn	III
爱多	aido	ado	IF
爱的人	aiderf	adr	III
奥德赛	aodesd	ads	III
爱读书	aiduuu	adu	III
啊对	aadv	adv	IF
安大学	andaxt	adx	III
安度因	anduyb	ady	III
爱豆	aidz	adz	IF
挨饿	aiee	aee	IF
阿尔法	aaerfa	aef	III
爱尔兰	aierlj	ael	III
阿法	aafa	afa	IF
阿凡达	aafjda	afd	III
艾菲尔	aifwer	afe	III
阿富汗	aafuhj	afh	III
安抚	anfu	afu	IF
阿飞	aafw	afw	IF
按规定	angvdk	agd	III
挨个	aige	age	IF
阿甘	aagj	agj	IF
暗光	angl	agl	IF
爱国	aigo	ago	IF
安宫	angs	ags	IF
阿根廷	aagftk	agt	III
阿古	aagu	agu	IF
昂贵	ahgv	agv	IF
按公允	angsyy	agy	III
啊哈	aaha	aha	IF
爱好	aihc	ahc	IF
阿海	aahd	ahd	IF
爱喝	aihe	ahe	IF
爱恨	aihf	ahf	IF
按行	anhh	ahh	IF
暗含	anhj	ahj	IF
阿黄	aahl	ahl	IF
爱好者	aihcve	ahv	III
暗黑	anhw	ahw	IF
安化	anhx	ahx	IF
爱孩子	aihdzi	ahz	III
安插	ania	aia	IF
爱得	aide	aid	FI
爱过	aigo	aig	FI
爱吃	aiii	aii	FI
暧昧	aimw	aim	FI
爱情	aiqk	aiq	FI
爱信	aixb	aix	FI
矮子	aizi	aiz	FI
暗金	anjb	ajb	IF
安静的	anjkde	ajd	III
按计划	anjihx	ajh	III
埃及	aiji	aji	IF
安静	anjk	ajk	IF
安静了	anjkle	ajl	III
按键	anjm	ajm	IF
傲娇	aojn	ajn	IF
按揭	anjp	ajp	IF
艾灸	aijq	ajq	IF
埃及人	aijirf	ajr	III
氨基酸	anjisr	ajs	III
爱就是	aijqui	aju	III
案件中	anjmvs	ajv	III
安静下	anjkxx	ajx	III
奥凯	aokd	akd	IF
阿轲	aake	ake	IF
爱康	aikh	akh	IF
爱看	aikj	akj	IF
爱快	aikk	akk	IF
拗口	aokz	akz	IF
埃拉	aila	ala	IF
阿拉伯	aalabo	alb	III
奥莱	aold	ald	IF
按了	anle	ale	IF
阿拉贡	aalags	alg	III
阿朗	aalh	alh	IF
案例	anli	ali	IF
埃雷拉	ailwla	all	III
阿联酋	aalmqq	alq	III
爱丽丝	ailisi	als	III
阿丽塔	aalita	alt	III
按理说	anliuo	alu	III
案例中	anlivs	alv	III
阿雷	aalw	alw	IF
阿里云	aaliyy	aly	III
爱吗	aima	ama	IF
爱猫	aimc	amc	IF
爱美的	aimwde	amd	III
澳门	aomf	amf	IF
奥秘	aomi	ami	IF
傲慢	aomj	amj	IF
案名	anmk	amk	IF
按摩	anmo	amo	IF
爱马仕	aimaui	amu	III
爱美	aimw	amw	IF
安眠药	anmmyc	amy	III
懊恼	aonc	anc	IF
爱你	aini	ani	IF
安利	anli	anl	FI
安排	anpd	anp	FI
暗算	ansr	ans	FI
暗示	anui	anu	FI
按照	anvc	anv	FI
安慰	anww	anw	FI
安信	anxb	anx	FI
案子	anzi	anz	FI
懊悔	aohv	aoh	FI
奥城	aoig	aoi	FI
澳美	aomw	aom	FI
傲气	aoqi	aoq	FI
奥赛	aosd	aos	FI
奥数	aouu	aou	FI
澳洲	aovz	aov	FI
安排的	anpdde	apd	III
安排好	anpdhc	aph	III
安排了	anpdle	apl	III
安排人	anpdrf	apr	III
安培	anpw	apw	IF
安排在	anpdzd	apz	III
安全保	anqrbc	aqb	III
安全的	anqrde	aqd	III
安全感	anqrgj	aqg	III
按期	anqi	aqi	IF
案情	anqk	aqk	IF
安全了	anqrle	aql	III
爱情片	aiqkpm	aqp	III
哀求	aiqq	aqq	IF
安全	anqr	aqr	IF
爱情是	aiqkui	aqu	III
安全装	anqrvl	aqv	III
安全卫	anqrww	aqw	III
安全性	anqrxk	aqx	III
爱奇艺	aiqiyi	aqy	III
安然	anrj	arj	IF
暗色	anse	ase	IF
埃森	aisf	asf	IF
阿三	aasj	asj	IF
奥斯卡	aosika	ask	III
奥斯曼	aosimj	asm	III
阿森纳	aasfna	asn	III
阿苏	aasu	asu	IF
爱所以	aisoyi	asy	III
安踏	anta	ata	IF
艾特	aite	ate	IF
奥体	aoti	ati	IF
哀叹	aitj	atj	IF
爱听	aitk	atk	IF
奥特曼	aotemj	atm	III
艾条	aitn	atn	IF
奥拓	aoto	ato	IF
按图片	antupm	atp	III
凹凸	aotu	atu	IF
鳌头	aotz	atz	IF
暗杀	anua	aua	IF
爱神	aiuf	auf	IF
爱上	aiuh	auh	IF
按时	anui	aui	IF
昂山	ahuj	auj	IF
爱上了	aiuhle	aul	III
啊什么	aaufme	aum	III
按说	anuo	auo	IF
暗示着	anuive	auv	III
按顺序	anuyxu	aux	III
安装包	anvlbc	avb	III
安装的	anvlde	avd	III
癌症	aivg	avg	IF
安装好	anvlhc	avh	III
安置	anvi	avi	IF
安卓机	anvoji	avj	III
安装	anvl	avl	IF
按照你	anvcni	avn	III
安卓	anvo	avo	IF
暗中	anvs	avs	IF
按住	anvu	avu	IF
安装一	anvlyi	avy	III
安装在	anvlzd	avz	III
爱娃	aiwa	awa	IF
按我的	anwode	awd	III
安稳	anwf	awf	IF
澳网	aowh	awh	IF
安慰剂	anwwji	awj	III
爱我们	aiwomf	awm	III
爱我	aiwo	awo	IF
癌晚期	aiwjqi	awq	III
阿武	aawu	awu	IF
暗物质	anwuvi	awv	III
安慰我	anwwwo	aww	III
安心	anxb	axb	IF
安心的	anxbde	axd	III
安息	anxi	axi	IF
暗星	anxk	axk	IF
阿修罗	aaxqlo	axl	III
凹陷	aoxm	axm	IF
爱笑	aixn	axn	IF
按下去	anxxqu	axq	III
爱学	aixt	axt	IF
按需	anxu	axu	IF
按下	anxx	axx	IF
俺现在	anxmzd	axz	III
爱要	aiyc	ayc	IF
爱运动	aiyyds	ayd	III
俺也	anye	aye	IF
爱一个	aiyige	ayg	III
奥运会	aoyyhv	ayh	III
安逸	anyi	ayi	IF
暗影	anyk	ayk	IF
哎哟	aiyo	ayo	IF
按要求	anycqq	ayq	III
案源	anyr	ayr	IF
暗涌	anys	ays	IF
按月	anyt	ayt	IF
阿姨说	aayiuo	ayu	III
按一下	anyixx	ayx	III
奥运	aoyy	ayy	IF
哎呦	aiyz	ayz	IF
爱咋	aiza	aza	IF
艾滋病	aizibk	azb	III
肮脏的	ahzhde	azd	III
安泽	anze	aze	IF
肮脏	ahzh	azh	IF
暗自	anzi	azi	IF
爱自己	aiziji	azj	III
挨揍	aizz	azz	IF
八核	bahe	bah	FI
八千	baqm	baq	FI
把人	barf	bar	FI
把手	bauz	bau	FI
把我	bawo	baw	FI
把戏	baxi	bax	FI
宝宝	bcbc	bbc	IF
并不会	bkbuhv	bbh	III
不包括	bubcko	bbk	III
比不了	bibuln	bbl	III
并不能	bkbung	bbn	III
辨别	bmbp	bbp	IF
北半球	bwbjqq	bbq	III
并不太	bkbutd	bbt	III
版本中	bjbfvs	bbv	III
并不想	bkbuxl	bbx	III
不必要	bubiyc	bby	III
并不在	bkbuzd	bbz	III
报告	bcgc	bcg	FI
保持	bcii	bci	FI
报价	bcjx	bcj	FI
包括	bcko	bck	FI
暴力	bcli	bcl	FI
保暖	bcnr	bcn	FI
抱歉	bcqm	bcq	FI
报送	bcss	bcs	FI
抱团	bctr	bct	FI
保险	bcxm	bcx	FI
不到	budc	bdc	IF
百度	bddu	bdd	FI
变得	bmde	bde	IF
变得更	bmdegg	bdg	III
本地	bfdi	bdi	IF
不但	budj	bdj	IF
表达了	bndale	bdl	III
拜年	bdnm	bdn	FI
不多	budo	bdo	IF
不定期	budkqi	bdq	III
不懂	buds	bds	IF
百天	bdtm	bdt	FI
不到位	budcww	bdw	III
百姓	bdxk	bdx	FI
不等于	budgyu	bdy	III
摆在	bdzd	bdz	FI
波尔多	boerdo	bed	III
保额	bcee	bee	IF
贝恩	bwen	ben	IF
比尔	bier	ber	IF
波尔图	boertu	bet	III
本儿	bfer	bfe	FI
本国	bfgo	bfg	FI
不符合	bufuhe	bfh	III
奔驰	bfii	bfi	FI
本科	bfke	bfk	FI
本来	bfld	bfl	FI
播放器	bofhqi	bfq	III
并非	bkfw	bfw	IF
蝙蝠侠	bmfuxx	bfx	III
本意	bfyi	bfy	FI
本子	bfzi	bfz	FI
不高	bugc	bgc	IF
不该	bugd	bgd	IF
不过分	bugoff	bgf	III
不过关	bugogr	bgg	III
不够好	bugzhc	bgh	III
不光	bugl	bgl	IF
不感冒	bugjmc	bgm	III
不管你	bugrni	bgn	III
不过	bugo	bgo	IF
不给钱	bugwqm	bgq	III
不管	bugr	bgr	IF
不管他	bugrta	bgt	III
被各种	bwgevs	bgv	III
不甘心	bugjxb	bgx	III
半个月	bjgeyt	bgy	III
不会被	buhvbw	bhb	III
不合格	buhege	bhg	III
不后悔	buhzhv	bhh	III
包含了	bchjle	bhl	III
邦尼	bhni	bhn	FI
不害怕	buhdpa	bhp	III
不会去	buhvqu	bhq	III
不会	buhv	bhv	IF
变化	bmhx	bhx	IF
背后	bwhz	bhz	IF
比分	biff	bif	FI
变成了	bmigle	bil	III
被戳	bwio	bio	IF
比较爱	bijnai	bja	III
板材	bjcd	bjc	FI
比较好	bijnhc	bjh	III
笔记	biji	bji	IF
毕竟	bijk	bjk	IF
不仅是	bujbui	bju	III
不建议	bujmyi	bjy	III
备考	bwkc	bkc	IF
不可	buke	bke	IF
并购	bkgz	bkg	FI
不看	bukj	bkj	IF
板块	bjkk	bkk	IF
包括了	bckole	bkl	III
不可能	bukeng	bkn	III
病人	bkrf	bkr	FI
把控	baks	bks	IF
病态	bktd	bkt	FI
崩溃	bgkv	bkv	IF
不开心	bukdxb	bkx	III
不可以	bukeyi	bky	III
并在	bkzd	bkz	FI
柏林	bolb	blb	IF
捕捞	bulc	blc	IF
便利店	bmlidm	bld	III
罢了	bale	ble	IF
布洛芬	buloff	blf	III
冰冷	bklg	blg	IF
比例	bili	bli	IF
本来就	bfldjq	blj	III
保留了	bclqle	bll	III
报料	bcln	bln	IF
包罗	bclo	blo	IF
并列	bklp	blp	IF
保留	bclq	blq	IF
被列入	bwlpru	blr	III
布鲁斯	bulusi	bls	III
边聊天	bmlntm	blt	III
不论是	bulyui	blu	III
保留着	bclqve	blv	III
壁垒	bilw	blw	IF
本来想	bfldxl	blx	III
不利于	buliyu	bly	III
暴露在	bcluzd	blz	III
编辑	bmji	bmj	FI
避免	bimm	bmm	IF
编曲	bmqu	bmq	FI
变态	bmtd	bmt	FI
并没有	bkmwyz	bmy	III
把女儿	banver	bne	III
不能	bung	bng	IF
帮你	bhni	bni	IF
不能看	bungkj	bnk	III
不努力	bunuli	bnl	III
不能算	bungsr	bns	III
标题	bnti	bnt	FI
表示	bnui	bnu	FI
标准	bnvy	bnv	FI
不能为	bungww	bnw	III
表现	bnxm	bnx	FI
不能做	bungzo	bnz	III
脖颈	bogg	bog	FI
波长	boih	boi	FI
波能	bong	bon	FI
博取	boqu	boq	FI
波斯	bosi	bos	FI
波特	bote	bot	FI
剥削	boxt	box	FI
不怕	bupa	bpa	IF
奔跑	bfpc	bpc	IF
被喷	bwpf	bpf	IF
爆棚	bcpg	bpg	IF
不平衡	bupkhg	bph	III
不排除	bupdiu	bpi	III
背叛	bwpj	bpj	IF
被骗了	bwpmle	bpl	III
白嫖	bdpn	bpn	IF
不匹配	bupipw	bpp	III
别人	bprf	bpr	FI
不怕死	bupasi	bps	III
比普通	biputs	bpt	III
别说	bpuo	bpu	FI
憋着	bpve	bpv	FI
不便宜	bupmyi	bpy	III
别再	bpzd	bpz	FI
不起啊	buqiaa	bqa	III
表情包	bnqkbc	bqb	III
不确定	buqtdk	bqd	III
版权费	bjqrfw	bqf	III
不奇怪	buqigk	bqg	III
并且还	bkqphd	bqh	III
不清楚	buqkiu	bqi	III
被囚禁	bwqqjb	bqj	III
表情	bnqk	bqk	IF
比起来	biqild	bql	III
标签	bnqm	bqm	IF
并且能	bkqpng	bqn	III
并且	bkqp	bqp	IF
不缺钱	buqtqm	bqq	III
被起诉	bwqisu	bqs	III
比其他	biqita	bqt	III
不去	buqu	bqu	IF
被强制	bwqlvi	bqv	III
并且我	bkqpwo	bqw	III
不清晰	buqkxi	bqx	III
并且有	bkqpyz	bqy	III
并且在	bkqpzd	bqz	III
不饶	burc	brc	IF
别人的	bprfde	brd	III
别人给	bprfgw	brg	III
必然会	birjhv	brh	III
别人吃	bprfii	bri	III
不然	burj	brj	IF
不认可	burfke	brk	III
不入流	burulq	brl	III
被人们	bwrfmf	brm	III
比如你	biruni	brn	III
